,link-rumah-href,Judul,Alamat,Kamar Tidur,Kamar Mandi,Harga,Luas Bangunan,Luas Tanah,Listrik,Jenis Interior,Tempat Parkir,Latitude,Longitude,Harga per m^2,Interior_Lengkap,Interior_Multiple options available,Interior_Sebagian,Interior_Tak Berperabot
8370,https://www.rumah.com/listing-properti/dijual-bangunan-modern-gini-harga-ekonomis-banget-siap-untuk-keluarga-di-rancamanyar-bandung-oleh-fenty-20894996,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;Rancamanyar &quot;, Baleendah, Bandung, Jawa Barat",2,2,850000000.0,80.0,120.0,1300,Multiple options available,1,-7.0063295,107.6320153,708333.0,0,1,0,0
8372,https://www.rumah.com/listing-properti/dijual-di-nata-endah-kopo-bandung-ada-rumah-harmonis-full-furnish-anak-sama-istri-pasti-betah-oleh-fenty-20895009,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;Nata endah kopo &quot;, Kopo, Bandung, Jawa Barat",6,5,2750000000.0,300.0,165.0,900,Lengkap,2,-6.9406515,107.5875009,1666666.0,1,0,0,0
8373,https://www.rumah.com/listing-properti/dijual-ehh-coba-liat-deh-di-buah-batu-regerency-bandung-vibes-rumahnya-adem-banget-ya-bikin-nyaman-oleh-fenty-20895023,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;Buah Batu Regency &quot;, Buahbatu, Bandung, Jawa Barat",3,3,2100000000.0,120.0,160.0,2200,Multiple options available,2,-6.9557189,107.6542139,1312500.0,0,1,0,0
8374,https://www.rumah.com/listing-properti/dijual-ratusan-juta-udah-dapet-rumah-bergaya-modern-masih-nego-juga-lho-di-buah-batu-bandung-si-kecil-da-oleh-fenty-20895036,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;buah batu &quot;, Buahbatu, Bandung, Jawa Barat",3,2,950000000.0,100.0,60.0,1300,Sebagian,1,-6.9557189,107.6542139,1583333.0,0,0,1,0
8375,https://www.rumah.com/listing-properti/dijual-soreang-bandung-oleh-arjuna-maulana-ridwan-20895038,Rumah Bagus Murah Siap Huni Lingkungan Nyaman Area Soreang Bandung,"Soreang Bandung, Soreang, Bandung, Jawa Barat",2,1,485000000.0,100.0,60.0,900,Sebagian,1,-7.0281825,107.5209139,808333.0,0,0,1,0
8377,https://www.rumah.com/listing-properti/dijual-kota-baru-parahyangan-bandung-terbukti-menjadi-kawasan-terfavorit-untuk-pencari-rumah-impian-oleh-fenty-20895059,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;Kota Baru Parahyangan &quot;, Kota Baru Parahyangan, Bandung, Jawa Barat",4,3,4200000000.0,300.0,245.0,5500,Multiple options available,2,-7.3536938,108.2585117,1714285.0,0,1,0,0
8378,https://www.rumah.com/listing-properti/dijual-kalau-kamu-punya-rumah-di-batununggal-bandung-pasti-untung-banyak-oleh-fenty-20895069,"Lokasi favorit, akses mudah dijangkau, dekat fasilitas umum","&quot;Batununggal mulia &quot;, Batununggal, Bandung, Jawa Barat",2,2,1500000000.0,100.0,126.0,2200,,0,-6.9317606,107.6431247,1190476.0,0,0,0,0
8380,https://www.rumah.com/listing-properti/dijual-parahyangan-kencana-soreang-oleh-arjuna-maulana-ridwan-20895075,Rumah Bagus Murah Siap Huni Lingkungan Nyaman di Parahyangan Kencana,"Parahyangan Kencana Soreang, Soreang, Bandung, Jawa Barat",2,1,445000000.0,100.0,246.0,1300,Sebagian,1,-7.0281825,107.5209139,180894.0,0,0,1,0
8381,https://www.rumah.com/listing-properti/dijual-buahbatu-bandung-oleh-lina-marlina-20871217,Jual rumah buahbatu dkt batununggal suryalaya turangga tsm bandung,"JL BUAHBATU BANDUNG, Buahbatu, Bandung, Jawa Barat",4,2,2200000000.0,150.0,133.0,2200,Sebagian,2,-6.9557189,107.6542139,1654135.0,0,0,1,0
8382,https://www.rumah.com/listing-properti/dijual-rumah-antapani-bandung-oleh-lina-marlina-19256233,Jual rumah kantor antapani dkt arcamanik turangga tsm buahbatu bandung,"jl cicalengka antapani, Antapani, Bandung, Jawa Barat",4,3,3000000000.0,400.0,180.0,3500,Sebagian,2,-6.9185834,107.6600073,1666666.0,0,0,1,0
8385,https://www.rumah.com/listing-properti/dijual-resor-dago-pakar-cluster-spring-hills-oleh-lina-marlina-19774794,Jual rumah villa resor dago pakar pool dkt lembang setiabudhi bandung,"Jl. Raya Golf Dago, Dago, Bandung, Dago, Bandung, Jawa Barat",5,4,4900000000.0,195.0,220.0,3500,Lengkap,2,-6.88575,107.613704,2227272.0,1,0,0,0
8388,https://www.rumah.com/listing-properti/dijual-taman-cileunyi-oleh-lina-marlina-19883578,Jual murah rumah kosan cileunyi dkt cisundawu uin cibiru unpad jatinan,"Jl. Tol Padalarang-Cileunyi, Cileunyi Kulon, Bandung, Cileunyi, Bandung, Jawa Barat",10,10,900000000.0,125.0,334.0,1300,Tak Berperabot,0,-6.6685462,107.4421342,269461.0,0,0,0,1
8389,https://www.rumah.com/listing-properti/dijual-resor-dago-pakar-oleh-lina-marlina-19876414,Jual sewa rumah villa furnis swimingpool resor dago pakar dkt intercon,"Jl. Raya Golf Dago, Dago, Bandung, Coblong, Bandung, Jawa Barat",3,3,3900000000.0,250.0,197.0,2200,Lengkap,2,-6.88575,107.613704,1979695.0,1,0,0,0
8390,https://www.rumah.com/listing-properti/dijual-batununggal-indah-oleh-lina-marlina-20437330,Jual cepat rumah batununggal indah dkt suryalaya buahbatu turangga bdg,". Jl Soekarno Hatta, Dayeuh Kolot, Bandung, Dayeuhkolot, Bandung, Jawa Barat",4,4,6500000000.0,400.0,333.0,3500,Sebagian,4,-6.954013,107.627417,1951952.0,0,0,1,0
8391,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-sukahaji-bandung-lokasi-strategis-oleh-gboy-sylvia-20895081,Dijual Rumah Di Sukahaji Bandung Lokasi Strategis,"sukahaji, Pasteur, Bandung, Jawa Barat",4,4,10750000000.0,450.0,872.0,6600,Multiple options available,6,-6.8912891,107.5993373,1232798.0,0,1,0,0
8392,https://www.rumah.com/listing-properti/dijual-arcamanik-oleh-lina-marlina-20472886,"Dijual rumah mewah modern 3,lantai tanjungasri arcamanik antapani bdg","Tanjung asri, Arcamanik, Bandung, Jawa Barat",5,4,6900000000.0,400.0,298.0,3500,Sebagian,6,0.7893,113.9213,2315436.0,0,0,1,0
8393,https://www.rumah.com/listing-properti/dijual-jual-rumah-baru-minimalis-4-unit-ready-di-turangga-buah-batu-bandung-oleh-nirwan-darmawan-20860730,Rumah Baru Minimalis 4 unit ready di Turangga Buah Batu Bandung,"Turangga Martanegara Kiliningan Buahbatu Bandung, Buahbatu, Bandung, Jawa Barat",4,4,1700000000.0,170.0,90.0,2200,Sebagian,1,-6.9557189,107.6542139,1888888.0,0,0,1,0
8394,https://www.rumah.com/listing-properti/dijual-dijual-rumah-baru-tengah-kota-sangat-strategis-daerah-suryalaya-cijagra-buahbatu-bandung-oleh-nirwan-darmawan-20860787,Rumah Baru Minimalis Tengah Kota Strategis daerah Buahbatu Bandung,"Suryalaya Cijagra Buahbatu Bandung, Buahbatu, Bandung, Jawa Barat",4,4,2300000000.0,170.0,110.0,2200,Sebagian,2,-6.9557189,107.6542139,2090909.0,0,0,1,0
8395,https://www.rumah.com/listing-properti/dijual-rumah-dijual-di-cisaranten-kulon-bandung-oleh-djono-draptono-20895139,Rumah dijualan di cisarenten kulon bandung,"Cisaranten Kulon, Arcamanik, Bandung, Jawa Barat",3,2,890000000.0,80.0,104.0,1300,Sebagian,1,-6.9228282,107.683687,855769.0,0,0,1,0
8396,https://www.rumah.com/listing-properti/dijual-rumah-1-lantai-bernuansa-islami-di-daerah-ciwastra-bandung-oleh-akbar-sidiq-20895158,Dapatkan Rumah Impian Dengan Cicle Tetangga Yang Sefrekuensi,"jl buah batu, Bojongsoang, Bandung, Jawa Barat",2,1,534750000.0,39.0,66.0,2200,Tak Berperabot,1,-6.9826625,107.6735781,810227.0,0,0,0,1
8397,https://www.rumah.com/listing-properti/dijual-setra-murni-raya-pasteur-oleh-dian-mardiansyah-20895161,"Rumah Siap Huni, Dekat ke tol pasteur. Setramurni Raya Bandung","Setra Murni Raya Pasteur, Pasteur, Bandung, Jawa Barat",3,2,3900000000.0,150.0,300.0,2200,,0,0.7893,113.9213,1300000.0,0,0,0,0
8398,https://www.rumah.com/listing-properti/dijual-grand-pinus-regency-the-garden-villas-oleh-christie-20895168,Rumah minimalis Pinus regency bandung,". Jl. Soekarno, Soekarno Hatta, Bandung, Jawa Barat",2,1,900000000.0,110.0,94.0,1300,Tak Berperabot,1,-6.937606,107.68461,957446.0,0,0,0,1
8400,https://www.rumah.com/listing-properti/dijual-perumahan-pinus-regency-bandung-oleh-irma-rona-20895148,Dijual cepat rumah mewah plus full furnished bersih terawat.,"Sukarno hatta, Cinambo, Bandung, Jawa Barat",5,2,2600000000.0,215.0,180.0,3500,Lengkap,1,0.7893,113.9213,1444444.0,1,0,0,0
8401,https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-dago-resort-oleh-rohman-nur-hakim-19898981,Dijual Rumah Siap Huni Dago Resort,"Dago, Bandung, Jawa Barat",6,4,5000000000.0,300.0,320.0,3500,Tak Berperabot,0,-6.8772577,107.6174119,1562500.0,0,0,0,1
8402,https://www.rumah.com/listing-properti/dijual-rumah-baru-pusat-kota-dekat-sukaluyu-pahlawan-sayap-riau-oleh-rohman-nur-hakim-20788777,Rumah Baru di Pusat Kota dekat Universitas dan Sekolahan,"Cikutra Baru, Riau Re Martadinata, Bandung, Jawa Barat",4,4,2490000000.0,100.0,170.0,2200,Tak Berperabot,2,-6.9060648,107.6188765,1464705.0,0,0,0,1
8403,https://www.rumah.com/listing-properti/dijual-rumah-indent-free-design-dekat-cigadung-oleh-rohman-nur-hakim-19859094,Rumah Indent Free Design Cikutra Baru Residence Bandung,"Cikutra baru, Cigadung, Bandung, Jawa Barat",4,4,2380000000.0,90.0,165.0,2200,Multiple options available,2,-6.883367,107.6266329,1442424.0,0,1,0,0
8404,https://www.rumah.com/listing-properti/dijual-rumah-lux-lokasi-strategis-kota-bandung-oleh-rohman-nur-hakim-19862656,Rumah Dijual Unit Ekslusif Free Design Cikutra Baru Bandung,"Cikutra baru, Antapani, Bandung, Jawa Barat",4,4,2490000000.0,100.0,170.0,2200,Tak Berperabot,2,-6.9135245,107.6594029,1464705.0,0,0,0,1
8405,https://www.rumah.com/listing-properti/dijual-rumah-dijualan-di-cisarenten-kulon-bandung-city-oleh-sapto-jodi-santoso-20895264,Rumah dijualan di cisarenten kulon bandung olx,"Cisaranten Kulon, Arcamanik, Bandung, Jawa Barat",3,2,890000000.0,80.0,104.0,1300,Sebagian,1,-6.9228282,107.683687,855769.0,0,0,1,0
8406,https://www.rumah.com/listing-properti/dijual-jual-rumah-puri-permata-antapani-oleh-vici-jaya-shakti-korompis-20575969,Dalam komplek strategis,"Jl. Antapani, Antapani, Bandung, Jawa Barat",5,2,1850000000.0,250.0,180.0,2200,Tak Berperabot,2,-6.9135245,107.6594029,1027777.0,0,0,0,1
8407,https://www.rumah.com/listing-properti/dijual-rumah-murah-terawat-di-bandung-utara-awiligar-oleh-adhitya-nugraha-20775919,Rumah di kawasan Bandung Utara dengan udara sejuk segar,"Cimenyan, Bandung, Jawa Barat",3,2,950000000.0,160.0,183.0,1300,Tak Berperabot,2,-6.8799501,107.6591739,519125.0,0,0,0,1
8409,https://www.rumah.com/listing-properti/dijual-buah-batu-oleh-adhitya-nugraha-20749220,Rumah mewah siap huni di pusat kota Bandung,"Lengkong, Bandung, Jawa Barat",4,3,2175000000.0,200.0,186.0,2200,Tak Berperabot,2,-6.9309616,107.6224602,1169354.0,0,0,0,1
8410,https://www.rumah.com/listing-properti/dijual-taman-kopo-indah-2-oleh-renata-fernandya-20895332,Rumah Siap Huni Taman Kopo Indah 2 bandung,". Jl Raya Kopo, Mekar Rahayu, Margaasih, Margaasih, Bandung, Jawa Barat",3,2,950000000.0,130.0,90.0,3500,Tak Berperabot,1,-6.961944,107.560833,1055555.0,0,0,0,1
8411,https://www.rumah.com/listing-properti/dijual-jual-rumah-dalam-komplek-elite-cikutra-kota-bandung-oleh-cecep-20895364,Dijual rumah dalam komplek elite cikutra kota bandung,"Cibeunying Kaler, Bandung, Jawa Barat",5,3,2799990000.0,2018.0,204.0,2200,Multiple options available,2,0.7893,113.9213,1372544.0,0,1,0,0
8412,https://www.rumah.com/listing-properti/dijual-stt-telkom-buahbatu-bandung-oleh-lina-marlina-20660171,Jual murah rumah kosan 11kamar stt telkom tol buahbatu dkt podomoro,"Jl bojongsoang bandung, Buahbatu, Bandung, Jawa Barat",10,10,850000000.0,150.0,100.0,1300,Sebagian,1,0.7893,113.9213,850000.0,0,0,1,0
8414,https://www.rumah.com/listing-properti/dijual-perumahan-banyu-biru-bandung-oleh-lina-marlina-19316907,Jual rumah baru ready ciwastra cipamokolan dkt sumareccon margahayu,"Jl. Ciwastra, Ciwastra, Bandung, Buahbatu, Bandung, Jawa Barat",2,1,750000000.0,50.0,100.0,1300,Sebagian,1,-6.961049,107.665974,750000.0,0,0,1,0
8415,https://www.rumah.com/listing-properti/dijual-dijual-rumah-margahayu-jl-propelat-barat-vi-bandung-oleh-arief-haryono-20895363,"Dijual Rumah Margahayu, Propelat Barat, Bandung","Margahayu, Bandung, Jawa Barat",3,2,890000000.0,62.0,137.0,2200,Tak Berperabot,1,0.7893,113.9213,649635.0,0,0,0,1
8416,https://www.rumah.com/listing-properti/dijual-taman-cileunyi-oleh-lina-marlina-19976946,Rumah murah 200jtan dkt itb unpad jatinangor pabrik khatek tolcileunyi,"Jl. Tol Padalarang-Cileunyi, Cileunyi Kulon, Bandung, Cileunyi, Bandung, Jawa Barat",2,1,217000000.0,30.0,60.0,1300,Sebagian,1,-6.6685462,107.4421342,361666.0,0,0,1,0
8417,https://www.rumah.com/listing-properti/dijual-resor-dago-pakar-oleh-lina-marlina-19398225,Jual rumah villa resor dago pakar view permai bandung dkt lembang,"Jl. Raya Golf Dago, Dago, Bandung, Coblong, Bandung, Jawa Barat",4,4,4400000000.0,350.0,288.0,2200,Sebagian,2,-6.88575,107.613704,1527777.0,0,0,1,0
8418,https://www.rumah.com/listing-properti/dijual-rumah-cigadung-bandung-oleh-lina-marlina-16738402,Rumah cigadung dkt cikutra ITB tubagus ismail dago tol paster bandung,"jl cigadung bandung, Cigadung, Bandung, Jawa Barat",9,5,3800000000.0,550.0,350.0,2200,Sebagian,6,-6.8756938,107.6230567,1085714.0,0,0,1,0
8419,https://www.rumah.com/listing-properti/dijual-kota-baru-parahyangan-oleh-ating-rosnawati-20895413,Dijual Hunian Di Kota Baru Parahyangan 2 lantai Kondisi Furnished,"Kota Baru Parahyangan Tatar Purbasari, Kota Baru Parahyangan, Bandung, Jawa Barat",4,3,4500000000.0,150.0,216.0,2200,Sebagian,2,-6.8778125,107.4604375,2083333.0,0,0,1,0
8420,https://www.rumah.com/listing-properti/dijual-cipagalo-bojongsoang-bandung-oleh-irma-rona-20895390,Dijual rumah 2 lantai siap huni lokasi strategis,"Bojongsoang, Bandung, Jawa Barat",5,2,950000000.0,230.0,180.0,1300,Multiple options available,1,0.7893,113.9213,527777.0,0,1,0,0
8421,https://www.rumah.com/listing-properti/dijual-di-bawah-pasaran-rumah-bagus-dekat-alun-alun-ujung-berung-kota-bandung-oleh-ridwan-sp-20893833,"Tanah Sangat Luas, Harga Terjangkau","Ujung Berung, Bandung, Jawa Barat",3,1,475000000.0,70.0,126.0,1300,Multiple options available,1,0.7893,113.9213,376984.0,0,1,0,0
8422,https://www.rumah.com/listing-properti/dijual-taman-cibaduyut-indah-oleh-lina-marlina-19614272,Jual murah rumah taman cibaduyutindah dkt tol kopo batununggal soreang,"Jl. Raya Cibaduyut, Cibaduyut, Bandung, Bojongloa Kidul, Bandung, Jawa Barat",2,2,850000000.0,90.0,112.0,2200,Tak Berperabot,2,-6.962869,107.593489,758928.0,0,0,0,1
8424,https://www.rumah.com/listing-properti/dijual-griya-panyileukan-asri-oleh-lina-marlina-20077847,Rumah murah 2lantai 600jtan panyileukan dkt sumareccon gedebage cibiru,"Jl Soekarno Hatta, Cipadung Kidul, Panyileukan, Panyileukan, Bandung, Jawa Barat",3,2,672000000.0,68.0,60.0,1300,Sebagian,1,-6.943144,107.648629,1120000.0,0,0,1,0
8428,https://www.rumah.com/listing-properti/dijual-dijual-modern-terawat-full-furnished-di-tubagus-ismail-bandung-oleh-nova-erza-20692798,Dijual Modern Terawat Full Furnished di Tubagus Ismail Bandung,"Tugabus Ismail, Coblong, Bandung, Jawa Barat",4,3,2600000000.0,200.0,160.0,2200,Lengkap,1,-6.8851992,107.6136456,1625000.0,1,0,0,0
8430,https://www.rumah.com/listing-properti/dijual-rumah-hitung-tanah-strategis-lokasi-istimewa-syp-buahbatu-bkr-lodaya-oleh-vay-20895461,Rumah Hitung Tanah Dkt Pusat Kota Syp Buahbatu Lodaya Bkr,"Jl. Buah batu Bkr Lodaya Ramdhan, Buahbatu, Bandung, Jawa Barat",4,3,2500000000.0,157.0,169.0,2200,Tak Berperabot,2,-6.9557189,107.6542139,1479289.0,0,0,0,1
8431,https://www.rumah.com/listing-properti/dijual-dijual-rumah-siap-huni-di-dalam-komplek-antapani-bandung-oleh-nova-erza-20278378,Dijual Rumah Siap Huni di dalam Komplek Antapani Bandung,"Antapani, Antapani, Bandung, Jawa Barat",2,2,950000000.0,71.0,73.0,2200,Tak Berperabot,1,-6.9135245,107.6594029,1301369.0,0,0,0,1
8432,https://www.rumah.com/listing-properti/dijual-dijual-rumah-di-daerah-dipenogoro-bandung-pusat-oleh-adri-20895458,Rumah terawat strategis pusat kota dekat Gedung sate,"Jl cilamaya, Bandung Wetan, Bandung, Jawa Barat",8,3,32500000000.0,500.0,843.0,6600,Multiple options available,6,0.7893,113.9213,3855278.0,0,1,0,0
8433,https://www.rumah.com/listing-properti/dijual-cibaduyut-oleh-asep-saepudin-20374984,Rumah Pribadi Aman Banjir & Siap huni,"CIBADUYUT, Bandung Selatan, Bandung, Jawa Barat",2,1,175000000.0,45.0,75.0,1300,Tak Berperabot,1,-7.1340702,107.6215321,233333.0,0,0,0,1
8434,https://www.rumah.com/listing-properti/dijual-bandung-selatan-oleh-asep-saepudin-20387703,Jual Murah Rumah Milik Pribadi Siap Huni,"trs cibaduyut, Bandung Selatan, Bandung, Jawa Barat",2,1,175000000.0,45.0,75.0,1300,Tak Berperabot,1,-7.1340702,107.6215321,233333.0,0,0,0,1
8435,https://www.rumah.com/listing-properti/dijual-grand-sharon-residence-oleh-irwan-20895403,Dijual rumah di grand sharon,"Jl. Inspeksi Cidurian, Cileunyi, Bandung, Cileunyi, Bandung, Jawa Barat",5,4,3500000000.0,225.0,225.0,4400,Sebagian,3,-6.941404,107.669807,1555555.0,0,0,1,0
8440,https://www.rumah.com/listing-properti/dijual-mekar-wangi-oleh-irwan-20895494,Dijual Rumah Murah di Mekar Wangi,". Jl Mekar Kencana, Mekar Wangi, Bojongloa Kidul, Mekar Wangi, Bandung, Jawa Barat",5,5,5200000000.0,400.0,278.0,2200,Sebagian,2,-6.9525,107.603056,1870503.0,0,0,1,0
8441,https://www.rumah.com/listing-properti/dijual-metro-regency-oleh-irwan-20895500,Promo Rumah Lux di Metro,". Jl. Soekarno Hatta, Margacinta, Bandung, Jawa Barat",4,4,4800000000.0,550.0,265.0,3500,Sebagian,4,-6.939111,107.66708,1811320.0,0,0,1,0
8444,https://www.rumah.com/listing-properti/dijual-cibiru-oleh-asep-saepudin-20895513,Rumah 2 Lt Free Design Dekat Borma Cibiru,"cinunuk, Bandung Timur, Bandung, Jawa Barat",3,2,399000000.0,50.0,100.0,1300,Tak Berperabot,1,-6.9174639,107.6191228,399000.0,0,0,0,1
8445,https://www.rumah.com/listing-properti/dijual-perumahan-elit-dikota-bandung-promo-100-jt-an-oleh-khaidar-taufiq-20872334,100 jt an berlaku 3 unit pertama di akhir tahun,"Jlan jatimekar bojong malaka, Bandung Selatan, Bandung, Jawa Barat",1,1,100000000.0,21.0,50.0,1300,Sebagian,1,0.7893,113.9213,200000.0,0,0,1,0
8446,https://www.rumah.com/listing-properti/dijual-hunian-mewah-dekat-ke-kota-bandung-oleh-khaidar-taufiq-20882654,Hunian mewah harga super promo cash keras,"Jl. Jatimekar-bojong malaka, Baleendah, Bandung, Jawa Barat",1,1,110000000.0,21.0,50.0,1300,Sebagian,1,0.7893,113.9213,220000.0,0,0,1,0
8448,https://www.rumah.com/listing-properti/dijual-dijual-rumah-modern-terawat-cantik-di-gedebage-bandung-oleh-nova-erza-20895600,Dijual Rumah Modern Terawat Cantik di Gedebage Bandung,"Gedebage, Gedebage, Bandung, Jawa Barat",5,3,2300000000.0,180.0,185.0,2200,Sebagian,1,-6.9436184,107.6815776,1243243.0,0,0,1,0
8449,https://www.rumah.com/listing-properti/dijual-rumah-resort-view-bukit-gunung-sawah-dan-view-city-bandung-udara-sejuk-oleh-candra-wijaya-20474495,Rumah Resort view bukit gunung sawah dan view city Bandung udara sejuk,"Cicalengka, Bandung, Jawa Barat",3,1,399000000.0,55.0,60.0,2200,Tak Berperabot,1,0.7893,113.9213,665000.0,0,0,0,1
8450,https://www.rumah.com/listing-properti/dijual-bandung-timur-oleh-asep-saepudin-20167603,Perumahan Baru Terdekat & Termurah di Bandung Timur,"cibiru, Bandung Timur, Bandung, Jawa Barat",2,1,299000000.0,45.0,100.0,900,Tak Berperabot,2,-6.9230294,107.7199696,299000.0,0,0,0,1
8451,https://www.rumah.com/listing-properti/dijual-hunian-kawasan-komplek-sukaasih-dengan-lokasi-paling-strategis-oleh-ika-kartika-20895630,1 unit tersisa,"sukaasih, Arcamanik, Bandung, Jawa Barat",3,2,730000000.0,60.0,121.0,1300,Tak Berperabot,1,-6.9291188,107.6764994,603305.0,0,0,0,1
8452,https://www.rumah.com/listing-properti/dijual-rumah-murah-baru-di-rancamanyar-baleendah-dekat-kopo-cibaduyut-samping-soreang-bandung-oleh-candra-wijaya-20395227,Rumah Baru Murah di Rancamanyar Baleendah dekat Kopo Katapang Soreang,"Bandung Selatan, Bandung, Jawa Barat",2,1,197000000.0,45.0,70.0,2200,Multiple options available,1,0.7893,113.9213,281428.0,0,1,0,0
8453,https://www.rumah.com/listing-properti/dijual-dijual-rumah-cocok-buat-tempat-tinggal-di-sayap-riau-bandung-oleh-vivi-tan-20895670,"Rumah Cocok Buat Tempat Tinggal di Sayap Riau, Bandung","Sayap Riau, Riau Re Martadinata, Bandung, Jawa Barat",7,3,13500000000.0,486.0,354.0,10600,Sebagian,2,-6.9060648,107.6188765,3813559.0,0,0,1,0
8454,https://www.rumah.com/listing-properti/dijual-for-sale-rumah-nyaman-dan-asri-di-batununggal-indah-oleh-esther-lilyan-20895628,Batununggal indah,"BATUNUNGGAL INDAH, Batununggal, Bandung, Jawa Barat",3,3,4099999999.9999995,250.0,307.0,4400,Sebagian,1,-6.9317606,107.6431247,1335504.0,0,0,1,0
8455,https://www.rumah.com/listing-properti/dijual-giri-mekar-permai-oleh-herawati-20895660,Rumah murah dibawah pasaran giri mekar lt179 hanya 600 jutaan,". Jl Giri Mekar, Ujung Berung, Bandung, Ujung Berung, Bandung, Jawa Barat",2,1,670000000.0,90.0,179.0,1300,Tak Berperabot,1,-6.895434,107.694044,374301.0,0,0,0,1
8456,https://www.rumah.com/listing-properti/dijual-pinus-regency-oleh-andrie-herianto-20533895,Pinus regency soekarno hatta rumah minimalis full renovasi keren,"Jl Soekarno Hatta, Cisaranten Kidul, Gedebage, Gedebage, Bandung, Jawa Barat",3,2,1285000000.0,110.0,144.0,1300,Tak Berperabot,1,-6.93709,107.684384,892361.0,0,0,0,1
8457,https://www.rumah.com/listing-properti/dijual-diamond-residence-kopo-bandung-oleh-andrie-herianto-20791455,Rumah murah cluster diamond residence dekat taman kopo indah,"Jl manglid kopo bandung, Margahayu, Bandung, Jawa Barat",2,1,765000000.0,50.0,72.0,2200,Sebagian,1,-6.9663079,107.5564326,1062500.0,0,0,1,0
8458,https://www.rumah.com/listing-properti/dijual-taman-kopo-indah-1-oleh-andrie-herianto-20318234,Dijuak rumah baru taman kopo indah 2 lantai murah,"Jl Raya Kopo,Mekar Rahayu, Margaasih, Margaasih, Bandung, Jawa Barat",3,2,899000000.0,85.0,65.0,1300,Tak Berperabot,1,-6.966944,107.564722,1383076.0,0,0,0,1
8460,https://www.rumah.com/listing-properti/dijual-singgasana-pradana-oleh-andrie-herianto-18522291,Singgasana pradana rumah minimalis baru,". Jl. Moh. Toha, Mekar Wangi Bandung, Mekar Wangi, Bandung, Jawa Barat",4,3,3800000000.0,180.0,145.0,2200,Tak Berperabot,1,-6.952859,107.598067,2620689.0,0,0,0,1
8461,https://www.rumah.com/listing-properti/dijual-dijual-rumah-taman-holis-thi-oleh-arief-haryono-20895680,"Dijual Rumah Taman Holis Indah, Bandung","Taman Hollis Indah, Bandung, Jawa Barat",2,1,850000000.0,80.0,98.0,1300,Tak Berperabot,1,0.7893,113.9213,867346.0,0,0,0,1
8462,https://www.rumah.com/listing-properti/dijual-taman-rahayu-regency-rumah-dijual-oleh-andrie-herianto-20797475,Rumah dijual taman rahayu 3 sudah renovasi area holis,"Taman rahayu 3, Margaasih, Bandung, Jawa Barat",2,1,625000000.0,80.0,72.0,1300,Tak Berperabot,1,-6.9663079,107.5564326,868055.0,0,0,0,1
8463,https://www.rumah.com/listing-properti/dijual-rumah-baru-di-antapani-dalam-komplek-one-gate-system-oleh-hendi-20895737,Rumah Baru di Lingkungan Asri security 24 Jam Komplek Antapani Asri,"Antapani Asri, Antapani, Bandung, Jawa Barat",5,4,1900000000.0,165.0,133.0,2200,Tak Berperabot,1,-6.9185834,107.6600073,1428571.0,0,0,0,1
8464,https://www.rumah.com/listing-properti/dijual-rumah-baru-design-menarik-jarang-ada-cisaranten-oleh-zeid-noor-yasya-20481745,"Design Menarik, Bangunan Baru Modern, One Get system","Arcamanik, Bandung, Jawa Barat",3,3,1435000000.0,145.0,145.0,2200,Tak Berperabot,2,-6.9291188,107.6764994,989655.0,0,0,0,1
8465,https://www.rumah.com/listing-properti/dijual-dijual-rumah-margacinta-komplek-cijawura-oleh-zeid-noor-yasya-20684593,Hot Sale Turun Harga Jual Cepat,"Buahbatu, Bandung, Jawa Barat",4,3,1050000000.0,130.0,176.0,2200,Tak Berperabot,1,-6.9557189,107.6542139,596590.0,0,0,0,1
8466,https://www.rumah.com/listing-properti/dijual-dijual-cepat-rumah-dalam-cluster-harga-njop-cijawura-buah-batu-oleh-zeid-noor-yasya-20856303,Cepat Jarang Ada Rumah Luas Harga NJOP,"Buahbatu, Bandung, Jawa Barat",5,3,970000000.0,150.0,160.0,2200,Tak Berperabot,2,-6.9557189,107.6542139,606250.0,0,0,0,1
8467,https://www.rumah.com/listing-properti/dijual-dijual-rumah-terawat-antapani-jarang-ada-lokasi-bagus-oleh-zeid-noor-yasya-20502356,Jarang ada Rumah dibawah 1M Lokasi bagus Antapani,"Antapani, Bandung, Jawa Barat",3,1,875000000.0,75.0,104.0,900,Tak Berperabot,1,-6.9135245,107.6594029,841346.0,0,0,0,1
8468,https://www.rumah.com/listing-properti/dijual-margahayu-raya-oleh-yovi-20895767,Margahayu Metro,". JL Ciwastra, Margasari, Buah Batu, Ancol, Bandung, Jawa Barat",3,2,799000000.0,86.0,75.0,1300,Tak Berperabot,1,-6.958023,107.657876,1065333.0,0,0,0,1
